INFO - run_mri.py - 2024-11-13 15:55:14,577 - Starting training loop at step 0.
INFO - run_mri.py - 2024-11-13 15:56:31,459 - step: 500, eval_loss: 3.10795e-04
INFO - run_mri.py - 2024-11-13 15:56:31,796 - step: 525, training_loss: 5.98017e-04
INFO - run_mri.py - 2024-11-13 15:56:32,133 - step: 550, training_loss: 6.26682e-04
INFO - run_mri.py - 2024-11-13 15:56:32,733 - step: 25, training_loss: 3.32984e-04
INFO - run_mri.py - 2024-11-13 15:56:33,069 - step: 50, training_loss: 7.29825e-04
INFO - run_mri.py - 2024-11-13 15:56:33,406 - step: 75, training_loss: 6.66672e-04
INFO - run_mri.py - 2024-11-13 15:56:33,743 - step: 100, training_loss: 4.29000e-04
INFO - run_mri.py - 2024-11-13 15:56:33,753 - step: 100, eval_loss: 3.19598e-04
INFO - run_mri.py - 2024-11-13 15:56:34,089 - step: 125, training_loss: 9.30392e-04
INFO - run_mri.py - 2024-11-13 15:56:34,427 - step: 150, training_loss: 3.59410e-04
INFO - run_mri.py - 2024-11-13 15:56:34,764 - step: 175, training_loss: 7.54689e-04
INFO - run_mri.py - 2024-11-13 15:56:35,099 - step: 200, training_loss: 8.84781e-04
INFO - run_mri.py - 2024-11-13 15:56:35,109 - step: 200, eval_loss: 3.97753e-04
INFO - run_mri.py - 2024-11-13 15:56:35,446 - step: 225, training_loss: 7.34984e-04
INFO - run_mri.py - 2024-11-13 15:56:35,782 - step: 250, training_loss: 3.97877e-04
INFO - run_mri.py - 2024-11-13 15:56:36,118 - step: 275, training_loss: 4.16032e-04
INFO - run_mri.py - 2024-11-13 15:56:36,454 - step: 300, training_loss: 3.92705e-04
INFO - run_mri.py - 2024-11-13 15:56:36,465 - step: 300, eval_loss: 3.17104e-04
INFO - run_mri.py - 2024-11-13 15:56:36,800 - step: 325, training_loss: 3.85838e-04
INFO - run_mri.py - 2024-11-13 15:56:37,136 - step: 350, training_loss: 7.84497e-04
INFO - run_mri.py - 2024-11-13 15:56:37,472 - step: 375, training_loss: 5.71538e-04
INFO - run_mri.py - 2024-11-13 15:56:37,810 - step: 400, training_loss: 4.38217e-04
INFO - run_mri.py - 2024-11-13 15:56:37,821 - step: 400, eval_loss: 2.85292e-04
